PFA_Name,Year,Population,Area_Sq_Km,IMD_Score,Police_Count,Crime_Count,Alpha_i,Beta_i,Sigma_i,Spillover_Force,E_Prime_i
Essex,2021.0,1857643.8000000194,3663.97,48.64249830130973,3474,119255.0,0.004864249830130973,0.22864365783987517,0.19798796535805316,952.3635529207877,-4094.4943945173236
Gloucestershire,2021.0,634411.8000000119,2652.4500000000003,42.82169693450181,1191,43762.0,0.004282169693450181,0.13115319987556437,0.11710170519428939,270.03565899554013,89.72219129126921
Greater Manchester,2021.0,2880622.200000018,1276.12,64.06394920617097,7263,14.0,0.0064063949206170975,208.9319847020308,0.09409959303458676,666.1589933881562,465.1388655474802
Gwent,2021.0,588967.2000000048,1551.46,51.97845788460139,1364,38127.0,0.00519784578846014,0.18891369572081898,0.14990018819695802,294.0292084681637,4494.964311861701
Hampshire and Isle of Wight,2021.0,2038305.6000000108,4148.23,43.14797429022277,3129,104387.0,0.004314797429022277,0.07452239642607371,0.0874008040393226,268.184407608069,7112.35461685661
Hertfordshire,2021.0,1204281.800000012,1643.07,40.33497332322295,2258,55823.0,0.004033497332322295,0.19076018589551028,0.029487277238564685,907.2702140226058,1609.5731983512187
Humberside,2021.0,670633.2000000067,3442.83,55.26280387463456,2102,51580.0,0.005526280387463456,0.10863180902360292,0.0369440543837566,353.2708292802144,-1033.39267049225
Kent,2021.0,1837535.0000000373,3738.35,55.51723561371496,3880,127153.0,0.005551723561371496,0.24775642122738856,0.11328466638127774,1279.067604181651,17764.210591279952
Lancashire,2021.0,1591299.2000000046,3065.88,60.162611531893084,3239,143994.0,0.006016261153189309,0.1536582527922623,0.11102933626239057,417.77134955459826,-850.4806261504684
Leicestershire,2021.0,1109467.6000000238,2538.09,42.290760292721075,2252,48939.0,0.004229076029272107,0.07131593088695115,0.03421900509348746,271.66126110692005,-3348.9242174390174
Lincolnshire,2021.0,741864.2000000179,5937.35,59.016483508756906,1133,42056.0,0.005901648350875691,0.10395366698053667,0.055972632981138984,262.20257925084667,2302.159766391379
"London, City of",2021.0,9558.40000000177,2.88,31.666666666666668,851,2044.0,0.003166666666666667,5.821908499059582,0.10392566243293065,3221.2936065750623,1916.5326351879166
Merseyside,2021.0,1426883.4000000134,652.4000000000001,67.11468913562608,3962,97135.0,0.006711468913562608,0.1318052520841167,0.11586479764575924,390.32952914717276,-28294.326834632568
Metropolitan Police,2021.0,8803844.00000009,1569.55,58.95259528047169,33433,546421.0,0.005895259528047169,0.12245030082651888,0.04755964035731477,340.78836765422705,37018.831812079356
Norfolk,2021.0,903665.8000000119,5383.6900000000005,57.97262889600568,1809,44762.0,0.005797262889600569,0.10215391608359846,0.09268266651126425,203.73280219009627,-1072.5059631132085
North Wales,2021.0,687332.0000000028,6153.49,51.97845788460139,1640,45136.0,0.00519784578846014,0.1021873612258505,0.08306468719691056,286.26319959675806,13.735243281533947
North Yorkshire,2021.0,807833.0000000112,8309.289999999999,39.403933797073634,1542,47649.0,0.003940393379707364,0.20383832283308367,0.11909125230974618,520.8001041544921,6662.368175700001
Northamptonshire,2021.0,2296194.8000000194,6701.4400000000005,49.80767916922867,1398,46641.0,0.004980767916922867,0.11115213745401539,0.06192713856900558,220.48783911180035,73.29397047726368
Northumbria,2021.0,1450684.2000000216,5560.13,64.01796301740093,3486,110195.0,0.006401796301740093,0.12401497637340336,0.09835828127569135,223.06700321476887,-8825.962150081508
Nottinghamshire,2021.0,1168982.8000000045,2159.45,53.07263995786478,2222,74780.0,0.005307263995786478,0.10840277520148625,0.09955960504763975,344.26793871562205,-13785.827822891662
South Wales,2021.0,1319814.6000000127,2077.2799999999997,51.97845788460139,3151,83597.0,0.00519784578846014,0.14572891600831553,0.1089182367122207,168.19449294588742,939.1425871346296
South Yorkshire,2021.0,1378442.2000000216,1551.59,67.056185956853,2825,86532.0,0.0067056185956853006,0.11471019791218902,0.015613475774641972,475.53121684984023,-1421.8049501486594
Staffordshire,2021.0,1135432.0000000112,2713.75,50.06831967597653,1779,59530.0,0.005006831967597654,0.08982026263311897,0.07129180540928623,469.4834729663581,1432.8157452087657
Suffolk,2021.0,1009749.8000000082,5061.04,51.6708943367096,1318,32993.0,0.00516708943367096,0.13530327152921565,0.14341576353873253,344.03469893244153,2948.0570656390423
Surrey,2021.0,1206051.2000000179,1662.56,30.98171738979266,2061,50222.0,0.003098171738979266,0.2660058427668317,0.05701189552104819,1041.8856627604932,-1034.5406127932722
Sussex,2021.0,1718935.4000000097,3782.5,49.99813447905561,2870,92066.0,0.004999813447905561,0.11600358087472414,0.09634856180752262,437.3078154324783,-1083.9791679230402
Thames Valley,2021.0,4188536.4000000507,10435.39,36.4435697646696,4413,101937.0,0.00364435697646696,0.1003838080153479,0.03805537265928489,546.7892620332544,-3726.08645557131
Warwickshire,2021.0,595084.0000000149,1975.11,45.77359868463561,1053,29010.0,0.004577359868463561,0.15838532390742097,0.06773890014849437,438.27099732042427,-84.41128345388148
West Mercia,2021.0,1115108.000000015,5228.22,49.66931616993597,2312,83751.0,0.004966931616993597,0.13029769339600716,0.18872224997297424,356.190434834051,22714.751795521293
West Midlands,2021.0,2922466.8000000417,901.63,66.66153194009041,7445,203369.0,0.006666153194009042,0.15012353760176742,0.11128989174520815,282.2771355566823,-9628.288336609663
West Yorkshire,2021.0,2355382.4000000283,2029.21,64.63197258961651,5705,171293.0,0.006463197258961651,0.11522596760766896,0.05099658930761067,407.0557357045351,7100.568367581698
Wiltshire,2021.0,747576.8000000063,3485.5,43.84260120986505,1080,33117.0,0.004384260120986506,0.11487447731273925,0.06640834539986576,314.83939748253994,-4605.299351891491
Avon and Somerset,2022.0,1275538.300000012,4666.95,41.86992184552263,3137,81936.0,0.004186992184552264,0.012422523874295257,0.10756321868221361,211.54345315014433,6875.318609670037
Bedfordshire,2022.0,719575.4000000171,1235.46,53.920716320716316,1383,30891.0,0.005392071632071632,0.11270797244535909,0.023083069937949785,248.21678613114346,-88.73226228357765
Cambridgeshire,2022.0,903501.400000006,3389.6400000000003,45.85250240330455,1645,40862.0,0.004585250240330455,0.07024328355597532,0.0399661413812735,248.4379550967044,-806.7297371014233
Cheshire,2022.0,1111376.6000000127,2346.16,49.520938645426355,2330,51683.0,0.004952093864542636,0.15422779505666748,0.13203885078594643,310.86191882320134,737.6873642314504
Cleveland,2022.0,580837.5000000093,597.65,67.99951660064139,1429,50195.0,0.006799951660064139,0.09159476645848923,0.06268581534854548,221.46612776045419,1430.0025122005127
