PFA_Name,Year,IMD_Score,Police_Count,Crime_Count,Alpha_i,B_i,Beta_i,Sigma_i,Spillover_Force,E_Prime_Monthly_Snapshot
Avon and Somerset,2021,44.764594192836014,3072,85162.0,0.004476459419283601,26.21788207413809,0.011731207022664503,0.10756321868221361,248.31393710309476,1693.4937607058787
Avon and Somerset,2022,44.764594192836014,3137,81936.0,0.004476459419283601,26.21788207413809,0.011731207022664503,0.10756321868221361,211.54345315014433,963.3530030309448
Avon and Somerset,2023,44.764594192836014,3310,83712.0,0.004476459419283601,26.21788207413809,0.011731207022664503,0.10756321868221361,170.810842805829,2001.7942353232866
Avon and Somerset,2024,44.764594192836014,3281,98607.0,0.004476459419283601,26.21788207413809,0.011731207022664503,0.10756321868221361,226.27207527592168,1461.1838589046947
Avon and Somerset,2025,44.764594192836014,3314,103381.0,0.004476459419283601,26.21788207413809,0.011731207022664503,0.10756321868221361,229.4318031874306,-930.8281919280096
Bedfordshire,2021,53.920716320716316,1364,31705.0,0.005392071632071632,30.764219840231913,0.11685014944811313,0.023083069937949785,255.37140923657358,-124.26722016223182
Bedfordshire,2022,53.920716320716316,1383,30891.0,0.005392071632071632,30.764219840231913,0.11685014944811313,0.023083069937949785,248.21678613114346,200.55590919343945
Bedfordshire,2023,53.920716320716316,1444,29930.0,0.005392071632071632,30.764219840231913,0.11685014944811313,0.023083069937949785,240.4674121259765,164.39731993422734
Bedfordshire,2024,53.920716320716316,1455,31589.0,0.005392071632071632,30.764219840231913,0.11685014944811313,0.023083069937949785,239.2418713010644,45.33309531470904
Bedfordshire,2025,53.920716320716316,1454,31307.0,0.005392071632071632,30.764219840231913,0.11685014944811313,0.023083069937949785,249.9464141274423,92.07185249877931
Cambridgeshire,2021,45.85250240330455,1655,41987.0,0.004585250240330455,2.550681557824467,0.07446366493198857,0.0399661413812735,261.7066250716137,-77.55322777965779
Cambridgeshire,2022,45.85250240330455,1645,40862.0,0.004585250240330455,2.550681557824467,0.07446366493198857,0.0399661413812735,248.4379550967044,-26.67286130849908
Cambridgeshire,2023,45.85250240330455,1736,40024.0,0.004585250240330455,2.550681557824467,0.07446366493198857,0.0399661413812735,224.3000159641184,602.8529177908824
Cambridgeshire,2024,45.85250240330455,1725,41969.0,0.004585250240330455,2.550681557824467,0.07446366493198857,0.0399661413812735,221.18132860606417,150.42218545178156
Cambridgeshire,2025,45.85250240330455,1707,44468.0,0.004585250240330455,2.550681557824467,0.07446366493198857,0.0399661413812735,225.05466569392962,197.1848664995823
Cheshire,2021,49.520938645426355,2191,61508.0,0.004952093864542636,49.7531069776372,0.19592807297198298,0.13203885078594643,334.50880495366243,-1832.0578806669507
Cheshire,2022,49.520938645426355,2330,51683.0,0.004952093864542636,49.7531069776372,0.19592807297198298,0.13203885078594643,311.6660531994269,-646.2408133576853
Cheshire,2023,49.520938645426355,2355,47816.0,0.004952093864542636,49.7531069776372,0.19592807297198298,0.13203885078594643,282.10441842373984,-1239.8564098495544
Cheshire,2024,49.520938645426355,2363,47003.0,0.004952093864542636,49.7531069776372,0.19592807297198298,0.13203885078594643,261.6353791447999,-1517.5262018284718
Cheshire,2025,49.520938645426355,2417,44511.0,0.004952093864542636,49.7531069776372,0.19592807297198298,0.13203885078594643,263.01892450055567,-250.3410155389751
Cleveland,2021,67.99951660064139,1426,53054.0,0.006799951660064139,2.168330912581356,0.11831618035012727,0.06268581534854548,245.94876874150478,-21.737583249056783
Cleveland,2022,67.99951660064139,1429,50195.0,0.006799951660064139,2.168330912581356,0.11831618035012727,0.06268581534854548,221.46612776045419,-304.2498565469064
